,variable,coef,abs_coef
170,functional_Maj2,0.0,0.0
168,electrical_Mix,-0.0,0.0
167,electrical_FuseP,0.0,0.0
192,misc_feature_None,0.0,0.0
90,condition_2_RRAe,0.0,0.0
194,misc_feature_Shed,-0.0,0.0
207,neighborhood_ClearCr,-0.0,0.0
216,neighborhood_MeadowV,-0.0,0.0
215,neighborhood_Landmrk,0.0,0.0
214,neighborhood_IDOTRR,-0.0,0.0
212,neighborhood_Greens,0.0,0.0
211,neighborhood_Gilbert,-0.0,0.0
77,land_slope_Sev,-0.0,0.0
78,condition_1_Feedr,0.0,0.0
208,neighborhood_CollgCr,-0.0,0.0
82,condition_1_RRAe,-0.0,0.0
87,condition_2_Norm,0.0,0.0
83,condition_1_RRAn,-0.0,0.0
204,neighborhood_Blueste,0.0,0.0
203,sale_type_WD ,-0.0,0.0
202,sale_type_Oth,0.0,0.0
84,condition_1_RRNe,-0.0,0.0
200,sale_type_ConLw,-0.0,0.0
85,condition_1_RRNn,-0.0,0.0
86,condition_2_Feedr,0.0,0.0
166,electrical_FuseF,0.0,0.0
164,heating_Wall,-0.0,0.0
322,year_built_1991,0.0,0.0
163,heating_OthW,-0.0,0.0
135,exterior_2nd_Plywood,-0.0,0.0
133,exterior_2nd_ImStucc,0.0,0.0
102,house_style_SFoyer,0.0,0.0
131,exterior_2nd_CmentBd,0.0,0.0
130,exterior_2nd_CBlock,0.0,0.0
129,exterior_2nd_BrkFace,0.0,0.0
128,exterior_2nd_Brk Cmn,0.0,0.0
103,house_style_SLvl,-0.0,0.0
126,exterior_1st_WdShing,0.0,0.0
104,roof_style_Gable,-0.0,0.0
124,exterior_1st_VinylSd,0.0,0.0
123,exterior_1st_Stucco,0.0,0.0
122,exterior_1st_Stone,0.0,0.0
121,exterior_1st_Plywood,-0.0,0.0
120,exterior_1st_MetalSd,0.0,0.0
119,exterior_1st_ImStucc,-0.0,0.0
105,roof_style_Gambrel,-0.0,0.0
116,exterior_1st_CBlock,0.0,0.0
108,roof_style_Shed,0.0,0.0
136,exterior_2nd_Stone,-0.0,0.0
137,exterior_2nd_Stucco,0.0,0.0
138,exterior_2nd_VinylSd,0.0,0.0
149,bsmtfin_type_1_BLQ,-0.0,0.0
161,heating_GasW,-0.0,0.0
160,bsmtfin_type_2_Unf,-0.0,0.0
157,bsmtfin_type_2_LwQ,-0.0,0.0
155,bsmtfin_type_2_BLQ,-0.0,0.0
154,bsmtfin_type_1_Unf,0.0,0.0
153,bsmtfin_type_1_Rec,-0.0,0.0
97,house_style_1.5Unf,0.0,0.0
98,house_style_1Story,0.0,0.0
148,foundation_Wood,0.0,0.0
139,exterior_2nd_Wd Sdng,-0.0,0.0
147,foundation_Stone,0.0,0.0
146,foundation_Slab,0.0,0.0
100,house_style_2.5Unf,0.0,0.0
144,foundation_CBlock,-0.0,0.0
143,mas_vnr_type_Stone,0.0,0.0
101,house_style_2Story,0.0,0.0
141,mas_vnr_type_BrkFace,-0.0,0.0
140,exterior_2nd_Wd Shng,0.0,0.0
217,neighborhood_Mitchel,-0.0,0.0
73,lot_config_FR2,-0.0,0.0
71,utilities_NoSewr,0.0,0.0
68,land_contour_Low,0.0,0.0
294,year_built_1963,0.0,0.0
293,year_built_1962,0.0,0.0
292,year_built_1961,-0.0,0.0
291,year_built_1960,-0.0,0.0
290,year_built_1959,-0.0,0.0
56,ms_zoning_FV,0.0,0.0
287,year_built_1956,-0.0,0.0
286,year_built_1955,-0.0,0.0
285,year_built_1954,-0.0,0.0
284,year_built_1953,-0.0,0.0
283,year_built_1952,-0.0,0.0
282,year_built_1951,-0.0,0.0
281,year_built_1950,0.0,0.0
57,ms_zoning_I (all),0.0,0.0
58,ms_zoning_RH,0.0,0.0
278,year_built_1947,-0.0,0.0
277,year_built_1946,0.0,0.0
276,year_built_1945,0.0,0.0
275,year_built_1942,-0.0,0.0
295,year_built_1964,-0.0,0.0
296,year_built_1965,-0.0,0.0
